"","Territorial_Authority","Anzsoc_Division","Total_Victimisations"
"184","New Plymouth District","Unlawful Entry With Intent/Burglary, Break and Enter",329
"185","Opotiki District","Acts Intended to Cause Injury",143
"186","Opotiki District","Robbery, Extortion and Related Offences",4
"187","Opotiki District","Sexual Assault and Related Offences",15
"188","Opotiki District","Theft and Related Offences",126
"189","Opotiki District","Unlawful Entry With Intent/Burglary, Break and Enter",114
"190","Otorohanga District","Acts Intended to Cause Injury",81
"191","Otorohanga District","Robbery, Extortion and Related Offences",2
"192","Otorohanga District","Sexual Assault and Related Offences",5
"193","Otorohanga District","Theft and Related Offences",87
"194","Otorohanga District","Unlawful Entry With Intent/Burglary, Break and Enter",87
"195","Palmerston North City","Abduction, Harassment and Other Related Offences Against a Person",3
"196","Palmerston North City","Acts Intended to Cause Injury",840
"197","Palmerston North City","Robbery, Extortion and Related Offences",40
"198","Palmerston North City","Sexual Assault and Related Offences",71
"199","Palmerston North City","Theft and Related Offences",3126
"200","Palmerston North City","Unlawful Entry With Intent/Burglary, Break and Enter",813
"201","Porirua City","Acts Intended to Cause Injury",595
"202","Porirua City","Robbery, Extortion and Related Offences",37
"203","Porirua City","Sexual Assault and Related Offences",43
"204","Porirua City","Theft and Related Offences",1021
"205","Porirua City","Unlawful Entry With Intent/Burglary, Break and Enter",419
"206","Queenstown-Lakes District","Abduction, Harassment and Other Related Offences Against a Person",1
"207","Queenstown-Lakes District","Acts Intended to Cause Injury",225
"208","Queenstown-Lakes District","Robbery, Extortion and Related Offences",14
"209","Queenstown-Lakes District","Sexual Assault and Related Offences",35
"210","Queenstown-Lakes District","Theft and Related Offences",499
"211","Queenstown-Lakes District","Unlawful Entry With Intent/Burglary, Break and Enter",91
"212","Rangitikei District","Abduction, Harassment and Other Related Offences Against a Person",1
"213","Rangitikei District","Acts Intended to Cause Injury",91
"214","Rangitikei District","Robbery, Extortion and Related Offences",4
"215","Rangitikei District","Sexual Assault and Related Offences",7
"216","Rangitikei District","Theft and Related Offences",163
